Year,Data.Job Creation.Births,Data.Job Creation.Continuers,Data.Job Creation.Count,Data.Job Destruction.Continuers,Data.Job Destruction.Count,Data.Job Destruction.Deaths
1978,4962352,9015212,13977564,5179679,9087317,3907638
1979,4632428,8582998,13215426,5741812,9208421,3466609
1980,4428137,7103139,11531276,7565920,11143594,3577674
1981,4442950,6974604,11417554,7462470,10618878,3156408
1982,4974181,7118228,12092409,8063916,11627400,3563484
1983,4659722,7315401,11975123,8555429,11909680,3354251
1984,5195573,9217091,14412664,6194746,9225536,3030790
1985,5519833,9254486,14774319,6946410,11112423,4166013
1986,5617027,8910084,14527111,7987711,11897418,3909707
1987,6351347,9276055,15627402,9303494,14055021,4715915
1988,6175924,9598440,15774364,8485350,13047597,4562247
1989,5895419,9826432,15721851,8033283,12384415,4351132
1990,5473532,9449128,14922660,8423695,12447222,4023527
1991,5505969,7965118,13471087,10302122,15188433,4886311
1992,5116611,9122857,14239468,9212940,13564843,4351903
1993,4881381,9557777,14439158,8511594,13011612,4500018
1994,5354257,9461300,14815557,8115921,12664870,4548949
1995,5649615,9864780,15514395,7869021,12118871,4249850
1996,5548611,9523588,15072199,8867256,13547598,4680342
1997,6350505,11158908,17509413,9249028,14745948,5496920
1998,6084755,11278781,17363536,9188759,14238464,5049705
1999,5995447,11055903,17051350,9584295,14967491,5383196
2000,6147089,11894315,18041404,9338797,14921457,5582660
2001,6229302,10938830,17168132,10719492,16301750,5582258
2002,7096204,10569812,17666016,13478736,20573380,7094644
2003,5687346,11135993,16823339,10697671,16109809,5412138
2004,5506195,10887195,16393390,9754213,14947312,5193099
2005,5891448,10322929,16214377,10266450,15082614,4816164
2006,6725785,11248873,17974658,9521647,14424765,4903118
2007,6001347,11377338,17378685,11432351,16875856,5443505
2008,5297916,10817620,16115536,11052455,16284511,5232056
2009,4715637,8008662,12724299,13337938,18577795,5239857
2010,4473270,8267921,12741191,10570155,14944247,4374092
2011,4337966,9701632,14039598,8517249,12459067,3941818
2012,4437360,10547345,14984705,8478688,12596993,4118305
2013,4604611,10162129,14766740,8456855,12645699,4188844
2014,4798798,10058571,14857369,8396857,12258030,3861173
2015,5097261,10416817,15514078,8494663,12445772,3951109
2016,4962291,10307362,15269653,8799924,12800134,4000210
2017,4901042,11248397,16149439,9515116,14237709,4722593
2018,4799452,10789981,15589433,9055893,13174032,4118139
